participant,type,score,memory_score,image_memory_order,food_order,quality,attract,mood,image_id
33,wine,20,high,1,1,中质量,有吸引力,非常正面,1
33,wine,18,low,1,2,中质量,无吸引力,非常正面,2
33,cake,15,high,3,1,中质量,无吸引力,非常正面,3
33,cake,13,low,3,2,高质量,有吸引力,非常正面,4
33,sandwich,25,high,4,2,高质量,有吸引力,非常正面,5
33,sandwich,18,low,4,1,低质量,无吸引力,非常正面,6
33,donut,24,high,2,2,中质量,有吸引力,非常正面,7
33,donut,16,low,2,1,低质量,无吸引力,非常正面,8
34,wine,15,high,2,1,低质量,有吸引力,正面,1
34,wine,25,low,2,2,中质量,无吸引力,正面,2
34,cake,30,high,3,2,高质量,有吸引力,正面,3
34,cake,15,low,3,1,低质量,无吸引力,正面,4
34,sandwich,22,high,4,2,高质量,有吸引力,正面,5
34,sandwich,15,low,4,1,低质量,无吸引力,正面,6
34,donut,25,high,1,2,高质量,有吸引力,正面,7
34,donut,10,low,1,1,低质量,无吸引力,正面,8
35,wine,20,high,3,2,中质量,无吸引力,非常正面,1
35,wine,35,low,3,1,高质量,有吸引力,非常正面,2
35,cake,30,high,4,1,中质量,有吸引力,非常正面,3
35,cake,15,low,4,2,低质量,无吸引力,非常正面,4
35,sandwich,10,high,1,2,低质量,无吸引力,非常正面,5
35,sandwich,20,low,1,1,高质量,有吸引力,非常正面,6
35,donut,15,high,2,2,中质量,无吸引力,非常正面,7
35,donut,10,low,2,1,中质量,有吸引力,非常正面,8
36,wine,35,high,4,2,中质量,无吸引力,正面,1
36,wine,30,low,4,1,中质量,有吸引力,正面,2
36,cake,35,high,3,2,高质量,有吸引力,正面,3
36,cake,25,low,3,1,低质量,无吸引力,正面,4
36,sandwich,25,high,1,2,高质量,有吸引力,正面,5
36,sandwich,20,low,1,1,中质量,无吸引力,正面,6
36,donut,15,high,2,1,低质量,有吸引力,正面,7
36,donut,10,low,2,2,中质量,无吸引力,正面,8
37,wine,25,high,1,1,高质量,有吸引力,非常正面,1
37,wine,10,low,1,2,中质量,无吸引力,非常正面,2
37,cake,15,high,4,1,高质量,有吸引力,非常正面,3
37,cake,10,low,4,2,低质量,无吸引力,非常正面,4
37,sandwich,30,high,3,2,中质量,有吸引力,非常正面,5
37,sandwich,18,low,3,1,高质量,无吸引力,非常正面,6
37,donut,23,high,2,2,中质量,无区别,非常正面,7
37,donut,12,low,2,1,低质量,无区别,非常正面,8
38,wine,15,high,1,1,中质量,无吸引力,非常正面,1
38,wine,20,low,1,2,高质量,有吸引力,非常正面,2
38,cake,15,high,3,2,高质量,有吸引力,非常正面,3
38,cake,10,low,3,1,低质量,无吸引力,非常正面,4
38,sandwich,20,high,2,2,高质量,有吸引力,非常正面,5
38,sandwich,10,low,2,1,低质量,无吸引力,非常正面,6
38,donut,15,high,4,1,中质量,有吸引力,非常正面,7
38,donut,10,low,4,2,低质量,无吸引力,非常正面,8
39,wine,26,high,2,1,中质量,无吸引力,非常正面,1
39,wine,30,low,2,2,高质量,有吸引力,非常正面,2
39,cake,32,high,3,1,中质量,有吸引力,非常正面,3
39,cake,25,low,3,2,中质量,无吸引力,非常正面,4
39,sandwich,31,high,1,2,高质量,有吸引力,非常正面,5
39,sandwich,27,low,1,1,中质量,无吸引力,非常正面,6
39,donut,34,high,4,2,高质量,有吸引力,非常正面,7
39,donut,22,low,4,1,低质量,无吸引力,非常正面,8
40,wine,15,high,1,1,中质量,无吸引力,非常正面,1
40,wine,20,low,1,2,中质量,有吸引力,非常正面,2
40,cake,25,high,4,1,高质量,有吸引力,非常正面,3
40,cake,20,low,4,2,低质量,无吸引力,非常正面,4
40,sandwich,25,high,2,2,高质量,有吸引力,非常正面,5
40,sandwich,30,low,2,1,高质量,无吸引力,非常正面,6
40,donut,25,high,3,1,中质量,有吸引力,非常正面,7
40,donut,10,low,3,2,低质量,无吸引力,非常正面,8
41,wine,20,high,2,2,高质量,无吸引力,非常正面,1
41,wine,22,low,2,1,高质量,有吸引力,非常正面,2
41,cake,24,high,3,2,高质量,有吸引力,非常正面,3
41,cake,11,low,3,1,中质量,无吸引力,非常正面,4
41,sandwich,27,high,1,2,高质量,有吸引力,非常正面,5
41,sandwich,22,low,1,1,中质量,无吸引力,非常正面,6
41,donut,25,high,4,2,高质量,有吸引力,非常正面,7
41,donut,15,low,4,1,中质量,无吸引力,非常正面,8
42,wine,45,high,3,1,低质量,有吸引力,非常正面,1
42,wine,30,low,3,2,中质量,无吸引力,非常正面,2
42,cake,40,high,2,1,高质量,有吸引力,非常正面,3
42,cake,20,low,2,2,低质量,无吸引力,非常正面,4
42,sandwich,20,high,4,1,高质量,有吸引力,非常正面,5
42,sandwich,10,low,4,2,中质量,无吸引力,非常正面,6
42,donut,20,high,1,2,中质量,无区别,非常正面,7
42,donut,10,low,1,1,中质量,无区别,非常正面,8
43,wine,15,high,4,1,中质量,无吸引力,非常正面,1
43,wine,20,low,4,2,中质量,有吸引力,非常正面,2
43,cake,16,high,2,1,中质量,有吸引力,非常正面,3
43,cake,10,low,2,2,中质量,无吸引力,非常正面,4
43,sandwich,15,high,1,2,高质量,有吸引力,非常正面,5
43,sandwich,25,low,1,1,高质量,无吸引力,非常正面,6
43,donut,22,high,3,1,中质量,无吸引力,非常正面,7
43,donut,12,low,3,2,中质量,有吸引力,非常正面,8
44,wine,20,high,1,2,中质量,无吸引力,正面,1
44,wine,35,low,1,1,高质量,有吸引力,正面,2
44,cake,15,high,4,1,中质量,无吸引力,正面,3
44,cake,25,low,4,2,中质量,有吸引力,正面,4
44,sandwich,18,high,3,1,高质量,有吸引力,正面,5
44,sandwich,25,low,3,2,中质量,无吸引力,正面,6
44,donut,15,high,2,2,低质量,无区别,正面,7
44,donut,10,low,2,1,低质量,无区别,正面,8
45,wine,30,high,2,2,中质量,有吸引力,非常正面,1
45,wine,15,low,2,1,中质量,无吸引力,非常正面,2
45,cake,25,high,1,1,高质量,有吸引力,非常正面,3
45,cake,10,low,1,2,低质量,无吸引力,非常正面,4
45,sandwich,25,high,4,2,中质量,有吸引力,非常正面,5
45,sandwich,20,low,4,1,低质量,无吸引力,非常正面,6
45,donut,20,high,3,2,高质量,有吸引力,非常正面,7
45,donut,15,low,3,1,低质量,无吸引力,非常正面,8
46,wine,10,high,1,1,中质量,有吸引力,正面,1
46,wine,20,low,1,2,高质量,无吸引力,正面,2
46,cake,15,high,3,2,中质量,有吸引力,正面,3
46,cake,20,low,3,1,低质量,无吸引力,正面,4
46,sandwich,30,high,2,2,中质量,有吸引力,正面,5
46,sandwich,20,low,2,1,高质量,无吸引力,正面,6
46,donut,19,high,4,1,中质量,有吸引力,正面,7
46,donut,15,low,4,2,高质量,无吸引力,正面,8
47,wine,22,high,1,2,中质量,无吸引力,非常正面,1
47,wine,25,low,1,1,高质量,有吸引力,非常正面,2
47,cake,30,high,4,1,高质量,有吸引力,非常正面,3
47,cake,22,low,4,2,中质量,无吸引力,非常正面,4
47,sandwich,27,high,2,1,高质量,有吸引力,非常正面,5
47,sandwich,20,low,2,2,高质量,无吸引力,非常正面,6
47,donut,26,high,3,1,高质量,有吸引力,非常正面,7
47,donut,22,low,3,2,高质量,无吸引力,非常正面,8
48,wine,30,high,1,1,中质量,无吸引力,正面,1
48,wine,20,low,1,2,高质量,有吸引力,正面,2
48,cake,35,high,4,1,高质量,有吸引力,正面,3
48,cake,10,low,4,2,低质量,无吸引力,正面,4
48,sandwich,15,high,3,1,高质量,有吸引力,正面,5
48,sandwich,10,low,3,2,高质量,无吸引力,正面,6
48,donut,20,high,2,2,中质量,无区别,正面,7
48,donut,10,low,2,1,中质量,无区别,正面,8
49,wine,30,high,4,2,低质量,无吸引力,正面,1
49,wine,25,low,4,1,中质量,有吸引力,正面,2
49,cake,30,high,2,2,高质量,有吸引力,正面,3
49,cake,20,low,2,1,高质量,无吸引力,正面,4
49,sandwich,28,high,1,1,中质量,有吸引力,正面,5
49,sandwich,30,low,1,2,中质量,无吸引力,正面,6
49,donut,32,high,3,2,中质量,有吸引力,正面,7
49,donut,28,low,3,1,中质量,无吸引力,正面,8
50,wine,18,high,3,2,中质量,无吸引力,正面,1
50,wine,12,low,3,1,中质量,有吸引力,正面,2
50,cake,20,high,2,2,高质量,有吸引力,正面,3
50,cake,12,low,2,1,高质量,无吸引力,正面,4
50,sandwich,20,high,4,1,高质量,有吸引力,正面,5
50,sandwich,10,low,4,2,低质量,无吸引力,正面,6
50,donut,16,high,1,2,中质量,有吸引力,正面,7
50,donut,10,low,1,1,低质量,无吸引力,正面,8
51,wine,18,high,2,1,高质量,无吸引力,正面,1
51,wine,25,low,2,2,高质量,有吸引力,正面,2
51,cake,38,high,4,1,高质量,有吸引力,正面,3
51,cake,20,low,4,2,低质量,无吸引力,正面,4
51,sandwich,20,high,1,2,高质量,有吸引力,正面,5
51,sandwich,38,low,1,1,中质量,无吸引力,正面,6
51,donut,25,high,3,1,中质量,无吸引力,正面,7
51,donut,30,low,3,2,中质量,有吸引力,正面,8
52,wine,26,high,3,2,中质量,有吸引力,正面,1
52,wine,13,low,3,1,中质量,无吸引力,正面,2
52,cake,25,high,2,1,高质量,有吸引力,正面,3
52,cake,11,low,2,2,低质量,无吸引力,正面,4
52,sandwich,24,high,1,1,中质量,有吸引力,正面,5
52,sandwich,12,low,1,2,低质量,无吸引力,正面,6
52,donut,29,high,4,2,中质量,有吸引力,正面,7
52,donut,12,low,4,1,中质量,无吸引力,正面,8
53,wine,50,high,2,1,高质量,无区别,非常正面,1
53,wine,30,low,2,2,中质量,无区别,非常正面,2
53,cake,15,high,4,1,高质量,有吸引力,非常正面,3
53,cake,10,low,4,2,低质量,无吸引力,非常正面,4
53,sandwich,20,high,1,2,高质量,有吸引力,非常正面,5
53,sandwich,15,low,1,1,中质量,无吸引力,非常正面,6
53,donut,15,high,3,2,低质量,无吸引力,非常正面,7
53,donut,18,low,3,1,中质量,有吸引力,非常正面,8
54,wine,20,high,2,2,高质量,无吸引力,正面,1
54,wine,35,low,2,1,高质量,有吸引力,正面,2
54,cake,20,high,4,2,高质量,有吸引力,正面,3
54,cake,10,low,4,1,中质量,无吸引力,正面,4
54,sandwich,20,high,3,1,中质量,无吸引力,正面,5
54,sandwich,35,low,3,2,高质量,有吸引力,正面,6
54,donut,15,high,1,1,高质量,有吸引力,正面,7
54,donut,25,low,1,2,中质量,无吸引力,正面,8
55,wine,15,high,4,2,中质量,有吸引力,非常正面,1
55,wine,20,low,4,1,高质量,无吸引力,非常正面,2
55,cake,30,high,2,2,中质量,有吸引力,非常正面,3
55,cake,20,low,2,1,中质量,无吸引力,非常正面,4
55,sandwich,15,high,3,2,高质量,无吸引力,非常正面,5
55,sandwich,15,low,3,1,高质量,有吸引力,非常正面,6
55,donut,15,high,1,2,中质量,有吸引力,非常正面,7
55,donut,10,low,1,1,高质量,无吸引力,非常正面,8
56,wine,18,high,3,2,高质量,无吸引力,正面,1
56,wine,15,low,3,1,低质量,有吸引力,正面,2
56,cake,22,high,2,2,高质量,无吸引力,正面,3
56,cake,26,low,2,1,高质量,有吸引力,正面,4
56,sandwich,20,high,1,2,中质量,有吸引力,正面,5
56,sandwich,22,low,1,1,中质量,无吸引力,正面,6
56,donut,12,high,4,2,中质量,无吸引力,正面,7
56,donut,13,low,4,1,低质量,有吸引力,正面,8
57,wine,50,high,1,2,高质量,有吸引力,非常正面,1
57,wine,45,low,1,1,高质量,无吸引力,非常正面,2
57,cake,45,high,4,1,高质量,有吸引力,非常正面,3
